Next Level: Level3
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2		!				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	*	1	1	1	1	1	2	2				Z				2				!		1	1	1		Z		1	1	1	1	1	1	1	1	1	1	1
1		1	1	1	1	2	2	!					Z	1				2				1	1						1	1	1	1	1	1	1	1	1	1
1	O		1	1	1	2		Z		2	2			1						Z						!		X	1									1
1			1	1	q				2	2	2			1			!								*		Z		1		Z					Z		1
1		*	1	1	w				2	2	2			1	Z							1	1					S	1				2				X	1
1			1	1	S		!		2				2	1				2				1	1	1		Z		1	1									1
1			2	2	2	2	2	2	2				2	1						Z		1	1	1	1	1	1	1	1				!		2			1
1			2	2	2	2	2	2	2		2	2	2	1								1	1	1		q		1	1			2		Z				1
1			2	#		*	!							1						!	@	1	1			Z			1			2						1
1			2	s										1				2										Z			2	2				Z		1
1			2	#					*		2	2		1											Z						2			2				1
1			2	2	2	2	2	2	2	!	2			1		*	Z				@	1	1				Z		1								X	1
1					Z				2	2	2			1				!				1	1	1		w		1	1					!		2		1
1				*				Z	2		Z			1				2				1	1	1	1	1	1	1	1			2		Z				1
1	Z		1	1	2	2			2			2	2	1								1	1	1				1	1							Z		1
1	!		1	1	1	1	2		2				2	1		!		Z			Z	1	1			X	!		1	1	1	1	1	1	1			1
1	1	1	1	1	1	2			2		!		2	2					*										[	q	1	1	1	1	1			1
1	1	1	1	1	1	1							q	2		Z		2									X		1	1	1	1	1	1	1			1
1	1	1	1	1	1	2				Z				2	2					!	Z	1	1	Z	!				1	1	1	1	1	1	1			1
1	1	1	1	1	1	2	2	1	1				2	2	2							1	1	1				1	1	1	1	1	1	1	1			1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1			1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2							Z							Z			1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2			X			Z							Z							1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2																						1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2			X								!				Z					1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2						Z					*						1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
