1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1																													1						1
1		,													Z									Z			,		1	q		O		q	1
1						,						,			,														1	@		f		@	1
1											Z							,			,								1	D		d		D	1
1		Z					,																						1	@		s		@	1
1																					Z								1	D		a		D	1
1																													1	@		F		@	1
1				,																			,				,		1	S		F		S	1
1															,														1	@		F		@	1
1						Z															Z								1	q		F		q	1
1							,						,										,						1	@		F		@	1
1																		,											1	w		F		w	1
1		,																		Z									1	@				@	1
1					Z						,																		1						1
1																																			1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
